Datum,Ort,Disziplin,Rang,Fahrer/in,Geschlecht,Fantasy Punkte,Weltcup Punkte,Team
2025-12-06,Tremblant,Giant Slalom,26,Ghisalberti Ilaria,W,5,5,
2025-12-06,Tremblant,Giant Slalom,27,Gray Cassidy,W,4,4,
2025-12-06,Tremblant,Giant Slalom,28,Hoerhager Lisa,W,3,3,
2025-12-06,Tremblant,Giant Slalom,29,Wild Simone,W,2,2,
2025-12-05,Beaver Creek,Super G,1,Kriechmayr Vincent,M,55,100,Janic
2025-12-05,Beaver Creek,Super G,2,Moeller Fredrik,M,48,80,Manuel
2025-12-05,Beaver Creek,Super G,3,Haaser Raphael,M,43,60,Daniel
2025-12-05,Beaver Creek,Super G,4,Paris Dominik,M,38,50,Sara
2025-12-05,Beaver Creek,Super G,5,Odermatt Marco,M,35,45,Céline
2025-12-05,Beaver Creek,Super G,6,Eichberger Stefan,M,32,40,Daniel
2025-12-05,Beaver Creek,Super G,7,Crawford James,M,29,36,Céline
2025-12-05,Beaver Creek,Super G,8,Rogentin Stefan,M,26,32,Gabi
2025-12-05,Beaver Creek,Super G,9,Babinsky Stefan,M,24,29,
2025-12-05,Beaver Creek,Super G,10,Franzoni Giovanni,M,22,26,
2025-12-05,Beaver Creek,Super G,11,Allegre Nils,M,20,24,
2025-12-05,Beaver Creek,Super G,12,Radamus River,M,19,22,Basil
2025-12-05,Beaver Creek,Super G,13,Cochran-Siegle Ryan,M,18,20,
2025-12-05,Beaver Creek,Super G,14,Zabystran Jan,M,17,18,
2025-12-05,Beaver Creek,Super G,15,Feurstein Lukas,M,16,16,
2025-12-05,Beaver Creek,Super G,16,Murisier Justin,M,15,15,
2025-12-05,Beaver Creek,Super G,17,Monney Alexis,M,14,14,Basil
2025-12-05,Beaver Creek,Super G,18,Hemetsberger Daniel,M,13,13,
2025-12-05,Beaver Creek,Super G,19,Sejersted Adrian Smiseth,M,12,12,Sara
2025-12-05,Beaver Creek,Super G,20,Schwarz Marco,M,11,11,Daniel
2025-12-05,Beaver Creek,Super G,21,Bosca Guglielmo,M,10,10,
2025-12-05,Beaver Creek,Super G,22,Casse Mattia,M,9,9,
2025-12-05,Beaver Creek,Super G,23,Innerhofer Christof,M,8,8,
2025-12-05,Beaver Creek,Super G,24,Hrobat Miha,M,7,7,Manuel
2025-12-05,Beaver Creek,Super G,25,Goldberg Jared,M,6,6,
2025-12-04,Beaver Creek,Downhill,1,Odermatt Marco,M,55,100,Céline
2025-12-04,Beaver Creek,Downhill,2,Cochran-Siegle Ryan,M,48,80,
2025-12-04,Beaver Creek,Downhill,3,Sejersted Adrian Smiseth,M,43,60,Sara
2025-12-04,Beaver Creek,Downhill,4,Von Allmen Franjo,M,38,50,Gabi
2025-12-04,Beaver Creek,Downhill,5,Kriechmayr Vincent,M,35,45,Janic
2025-12-04,Beaver Creek,Downhill,6,Paris Dominik,M,32,40,Sara
2025-12-04,Beaver Creek,Downhill,7,Eichberger Stefan,M,29,36,
2025-12-04,Beaver Creek,Downhill,8,Rogentin Stefan,M,26,32,Gabi
2025-12-04,Beaver Creek,Downhill,9,Monney Alexis,M,24,29,Basil
2025-12-04,Beaver Creek,Downhill,10,Alexander Cameron,M,22,26,
2025-12-04,Beaver Creek,Downhill,11,Kilde Aleksander Aamodt,M,20,24,
2025-12-04,Beaver Creek,Downhill,12,Allegre Nils,M,19,22,
2025-12-04,Beaver Creek,Downhill,13,Muzaton Maxence,M,18,20,
2025-12-04,Beaver Creek,Downhill,14,Schieder Florian,M,17,18,
2025-12-04,Beaver Creek,Downhill,15,Seger Brodie,M,16,16,
2025-12-04,Beaver Creek,Downhill,16,Hrobat Miha,M,15,15,Manuel
2025-12-04,Beaver Creek,Downhill,17,Lehto Elian,M,14,14,
2025-12-04,Beaver Creek,Downhill,18,Babinsky Stefan,M,13,13,
2025-12-04,Beaver Creek,Downhill,19,Haaser Raphael,M,12,12,Daniel
2025-12-04,Beaver Creek,Downhill,20,Hintermann Niels,M,11,11,
2025-12-04,Beaver Creek,Downhill,21,Murisier Justin,M,10,10,
2025-12-04,Beaver Creek,Downhill,22,Baumann Romed,M,9,9,
2025-12-04,Beaver Creek,Downhill,23,Casse Mattia,M,8,8,Daniel
2025-12-04,Beaver Creek,Downhill,24,Kohler Marco,M,7,7,
2025-12-04,Beaver Creek,Downhill,25,Hemetsberger Daniel,M,6,6,
2025-12-04,Beaver Creek,Downhill,26,Zabystran Jan,M,5,5,
2025-12-04,Beaver Creek,Downhill,27,Naralocnik Nejc,M,4,4,
2025-12-04,Beaver Creek,Downhill,28,Bennett Bryce,M,3,3,
2025-12-04,Beaver Creek,Downhill,29,Franzoni Giovanni,M,2,2,
2025-12-04,Beaver Creek,Downhill,30,Moeller Fredrik,M,1,1,Manuel
2025-11-30,"Copper Mountain, CO",Slalom,1,Shiffrin Mikaela,W,55,100,Janic
2025-11-30,"Copper Mountain, CO",Slalom,2,Duerr Lena,W,48,80,Céline
2025-11-30,"Copper Mountain, CO",Slalom,3,Colturi Lara,W,43,60,Janic
2025-11-30,"Copper Mountain, CO",Slalom,4,Holdener Wendy,W,38,50,Sara
2025-11-30,"Copper Mountain, CO",Slalom,5,Swenn Larsson Anna,W,35,45,Manuel
2025-11-30,"Copper Mountain, CO",Slalom,6,Liensberger Katharina,W,32,40,
2025-11-30,"Copper Mountain, CO",Slalom,7,Truppe Katharina,W,29,36,Basil
2025-11-30,"Copper Mountain, CO",Slalom,8,Moltzan Paula,W,26,32,Manuel
2025-11-30,"Copper Mountain, CO",Slalom,9,Hector Sara,W,24,29,Sara
2025-11-30,"Copper Mountain, CO",Slalom,10,Rast Camille,W,22,26,Daniel
2025-11-30,"Copper Mountain, CO",Slalom,11,Gallhuber Katharina,W,20,24,
2025-11-30,"Copper Mountain, CO",Slalom,12,Mcfarlane Caitlin,W,19,22,
2025-11-30,"Copper Mountain, CO",Slalom,13,Huber Katharina,W,18,20,
2025-11-30,"Copper Mountain, CO",Slalom,14,Stjernesund Thea Louise,W,17,18,Céline
2025-11-30,"Copper Mountain, CO",Slalom,15,St-Germain Laurence,W,16,16,
2025-11-30,"Copper Mountain, CO",Slalom,16,Danioth Aline,W,15,15,
2025-11-30,"Copper Mountain, CO",Slalom,17,Meillard Melanie,W,14,14,Janic
2025-11-30,"Copper Mountain, CO",Slalom,18,Aronsson Elfman Hanna,W,13,13,
2025-11-30,"Copper Mountain, CO",Slalom,19,Christen Eliane,W,12,12,
2025-11-30,"Copper Mountain, CO",Slalom,20,Chevrier Marion,W,11,11,Basil
2025-11-30,"Copper Mountain, CO",Slalom,21,Good Nicole,W,10,10,
2025-11-30,"Copper Mountain, CO",Slalom,22,Hilzinger Jessica,W,9,9,
2025-11-30,"Copper Mountain, CO",Slalom,23,Della Mea Lara,W,8,8,
2025-11-30,"Copper Mountain, CO",Slalom,24,Ando Asa,W,7,7,
2025-11-30,"Copper Mountain, CO",Slalom,25,Smart Amelia,W,6,6,
2025-11-30,"Copper Mountain, CO",Slalom,26,O Brien Nina,W,5,5,Daniel
2025-11-30,"Copper Mountain, CO",Slalom,27,Braendli Anuk,W,4,4,
2025-11-29,"Copper Mountain, CO",Giant Slalom,1,Robinson Alice,W,55,100,Céline
2025-11-29,"Copper Mountain, CO",Giant Slalom,2,Scheib Julia,W,48,80,Daniel
2025-11-29,"Copper Mountain, CO",Giant Slalom,3,Stjernesund Thea Louise,W,43,60,Céline
2025-11-29,"Copper Mountain, CO",Giant Slalom,4,Hector Sara,W,38,50,Sara
2025-11-29,"Copper Mountain, CO",Giant Slalom,5,Rast Camille,W,35,45,Daniel
2025-11-29,"Copper Mountain, CO",Giant Slalom,6,Duerr Lena,W,32,40,Céline
2025-11-29,"Copper Mountain, CO",Giant Slalom,7,Ljutic Zrinka,W,29,36,Gabi
2025-11-29,"Copper Mountain, CO",Giant Slalom,8,Holtmann Mina Fuerst,W,26,32,Sara
2025-11-29,"Copper Mountain, CO",Giant Slalom,9,Zenere Asja,W,24,29,
2025-11-29,"Copper Mountain, CO",Giant Slalom,10,Liensberger Katharina,W,22,26,
2025-11-29,"Copper Mountain, CO",Giant Slalom,11,O Brien Nina,W,20,24,Daniel
2025-11-29,"Copper Mountain, CO",Giant Slalom,12,Colturi Lara,W,19,22,Janic
2025-11-29,"Copper Mountain, CO",Giant Slalom,13,Grenier Valerie,W,18,20,
2025-11-29,"Copper Mountain, CO",Giant Slalom,14,Shiffrin Mikaela,W,17,18,Janic
2025-11-29,"Copper Mountain, CO",Giant Slalom,15,Gasienica-Daniel Maryna,W,16,16,
2025-11-29,"Copper Mountain, CO",Giant Slalom,16,Richardson Britt,W,15,15,
2025-11-29,"Copper Mountain, CO",Giant Slalom,17,Goggia Sofia,W,14,14,Basil
2025-11-29,"Copper Mountain, CO",Giant Slalom,18,Gritsch Franziska,W,13,13,
2025-11-29,"Copper Mountain, CO",Giant Slalom,18,Holdener Wendy,W,13,13,Sara
2025-11-29,"Copper Mountain, CO",Giant Slalom,20,Alphand Estelle,W,11,11,
2025-11-29,"Copper Mountain, CO",Giant Slalom,21,Aronsson Elfman Hanna,W,10,10,
2025-11-29,"Copper Mountain, CO",Giant Slalom,22,Hoerhager Lisa,W,9,9,
2025-11-29,"Copper Mountain, CO",Giant Slalom,23,Astner Nina,W,8,8,
2025-11-29,"Copper Mountain, CO",Giant Slalom,24,Bucik Jogan Ana,W,7,7,
2025-11-29,"Copper Mountain, CO",Giant Slalom,25,Brunner Stephanie,W,6,6,
2025-11-29,"Copper Mountain, CO",Giant Slalom,26,Kasper Vanessa,W,5,5,
2025-11-29,"Copper Mountain, CO",Giant Slalom,27,Della Mea Lara,W,4,4,
2025-11-29,"Copper Mountain, CO",Giant Slalom,28,Direz Clara,W,3,3,
2025-11-29,"Copper Mountain, CO",Giant Slalom,29,Cerutti Camille,W,2,2,
2025-11-28,"Copper Mountain, CO",Giant Slalom,1,Brennsteiner Stefan,M,55,100,
2025-11-28,"Copper Mountain, CO",Giant Slalom,2,Kristoffersen Henrik,M,48,80,Manuel
2025-11-28,"Copper Mountain, CO",Giant Slalom,3,Zubcic Filip,M,43,60,Basil
2025-11-28,"Copper Mountain, CO",Giant Slalom,4,Schwarz Marco,M,38,50,Daniel
2025-11-28,"Copper Mountain, CO",Giant Slalom,5,Vinatzer Alex,M,35,45,
2025-11-28,"Copper Mountain, CO",Giant Slalom,6,Kranjec Zan,M,32,40,
2025-11-28,"Copper Mountain, CO",Giant Slalom,7,Maes Sam,M,29,36,
2025-11-28,"Copper Mountain, CO",Giant Slalom,7,Anguenot Leo,M,29,36,
2025-11-28,"Copper Mountain, CO",Giant Slalom,9,Tumler Thomas,M,24,29,Gabi
2025-11-28,"Copper Mountain, CO",Giant Slalom,10,Schmid Alexander,M,22,26,
2025-11-28,"Copper Mountain, CO",Giant Slalom,10,Pinheiro Braathen Lucas,M,22,26,Janic
2025-11-28,"Copper Mountain, CO",Giant Slalom,12,Pinturault Alexis,M,19,22,
2025-11-28,"Copper Mountain, CO",Giant Slalom,13,Gratz Fabian,M,18,20,
2025-11-28,"Copper Mountain, CO",Giant Slalom,14,Solberg Eirik Hystad,M,17,18,
2025-11-28,"Copper Mountain, CO",Giant Slalom,15,Radamus River,M,16,16,Basil
2025-11-28,"Copper Mountain, CO",Giant Slalom,16,Verdu Joan,M,15,15,
2025-11-28,"Copper Mountain, CO",Giant Slalom,17,Feurstein Patrick,M,14,14,
2025-11-28,"Copper Mountain, CO",Giant Slalom,18,Meillard Loic,M,13,13,Sara
2025-11-28,"Copper Mountain, CO",Giant Slalom,19,Aerni Luca,M,12,12,
2025-11-28,"Copper Mountain, CO",Giant Slalom,19,Grammel Anton,M,12,12,
2025-11-28,"Copper Mountain, CO",Giant Slalom,21,Parand Loevan,M,10,10,
2025-11-28,"Copper Mountain, CO",Giant Slalom,22,Favrot Thibaut,M,9,9,
2025-11-28,"Copper Mountain, CO",Giant Slalom,23,Ortega Fornesa Albert,M,8,8,
2025-11-28,"Copper Mountain, CO",Giant Slalom,24,Sturm Joshua,M,7,7,
2025-11-28,"Copper Mountain, CO",Giant Slalom,25,Haaser Raphael,M,6,6,Daniel
2025-11-28,"Copper Mountain, CO",Giant Slalom,26,De Aliprandini Luca,M,5,5,
2025-11-28,"Copper Mountain, CO",Giant Slalom,27,Read Erik,M,4,4,
2025-11-28,"Copper Mountain, CO",Giant Slalom,28,Laine Tormis,M,3,3,
2025-11-28,"Copper Mountain, CO",Giant Slalom,29,Borsotti Giovanni,M,2,2,
2025-11-27,"Copper Mountain, CO",Super G,1,Odermatt Marco,M,55,100,Céline
2025-11-27,"Copper Mountain, CO",Super G,2,Kriechmayr Vincent,M,48,80,Janic
2025-11-27,"Copper Mountain, CO",Super G,3,Haaser Raphael,M,43,60,Daniel
2025-11-27,"Copper Mountain, CO",Super G,4,Babinsky Stefan,M,38,50,
2025-11-27,"Copper Mountain, CO",Super G,5,Moeller Fredrik,M,35,45,Manuel
2025-11-27,"Copper Mountain, CO",Super G,6,Feurstein Lukas,M,32,40,
2025-11-27,"Copper Mountain, CO",Super G,7,Rogentin Stefan,M,29,36,Gabi
2025-11-27,"Copper Mountain, CO",Super G,8,Bosca Guglielmo,M,26,32,
2025-11-27,"Copper Mountain, CO",Super G,9,Von Allmen Franjo,M,24,29,Gabi
2025-11-27,"Copper Mountain, CO",Super G,10,Cochran-Siegle Ryan,M,22,26,
2025-11-27,"Copper Mountain, CO",Super G,11,Paris Dominik,M,20,24,Sara
2025-11-27,"Copper Mountain, CO",Super G,12,Mcgrath Atle Lie,M,19,22,Céline
2025-11-27,"Copper Mountain, CO",Super G,13,Hrobat Miha,M,18,20,Manuel
2025-11-27,"Copper Mountain, CO",Super G,13,Franzoni Giovanni,M,18,20,
2025-11-27,"Copper Mountain, CO",Super G,15,Hemetsberger Daniel,M,16,16,
2025-11-27,"Copper Mountain, CO",Super G,16,Crawford James,M,15,15,Céline
2025-11-27,"Copper Mountain, CO",Super G,17,Schwarz Marco,M,14,14,Daniel
2025-11-27,"Copper Mountain, CO",Super G,18,Elezi Cannaferina Alban,M,13,13,
2025-11-27,"Copper Mountain, CO",Super G,19,Sejersted Adrian Smiseth,M,12,12,Sara
2025-11-27,"Copper Mountain, CO",Super G,20,Jocher Simon,M,11,11,
2025-11-27,"Copper Mountain, CO",Super G,20,Monney Alexis,M,11,11,Basil
2025-11-27,"Copper Mountain, CO",Super G,22,Radamus River,M,9,9,Basil
2025-11-27,"Copper Mountain, CO",Super G,23,Molteni Nicolo,M,8,8,
2025-11-27,"Copper Mountain, CO",Super G,24,Negomir Kyle,M,7,7,
2025-11-27,"Copper Mountain, CO",Super G,24,Kilde Aleksander Aamodt,M,7,7,
2025-11-27,"Copper Mountain, CO",Super G,26,Zabystran Jan,M,5,5,
2025-11-27,"Copper Mountain, CO",Super G,26,Casse Mattia,M,5,5,Daniel
2025-11-27,"Copper Mountain, CO",Super G,28,Allegre Nils,M,3,3,
2025-11-27,"Copper Mountain, CO",Super G,29,Innerhofer Christof,M,2,2,
2025-11-27,"Copper Mountain, CO",Super G,30,Murisier Justin,M,1,1,Basil
2025-11-23,Gurgl,Slalom,1,Shiffrin Mikaela,W,55,100,Janic
2025-11-23,Gurgl,Slalom,2,Colturi Lara,W,48,80,Janic
2025-11-23,Gurgl,Slalom,3,Rast Camille,W,43,60,Daniel
2025-11-23,Gurgl,Slalom,4,Holdener Wendy,W,38,50,Sara
2025-11-23,Gurgl,Slalom,5,Moltzan Paula,W,35,45,Manuel
2025-11-23,Gurgl,Slalom,6,Truppe Katharina,W,32,40,
2025-11-23,Gurgl,Slalom,7,Duerr Lena,W,29,36,Céline
2025-11-23,Gurgl,Slalom,8,Hector Sara,W,26,32,Sara
2025-11-23,Gurgl,Slalom,9,Aicher Emma,W,24,29,Daniel
2025-11-23,Gurgl,Slalom,10,Swenn Larsson Anna,W,22,26,Manuel
2025-11-23,Gurgl,Slalom,11,St-Germain Laurence,W,20,24,
2025-11-23,Gurgl,Slalom,12,Huber Katharina,W,19,22,
2025-11-23,Gurgl,Slalom,13,Gallhuber Katharina,W,18,20,
2025-11-23,Gurgl,Slalom,14,Germane Dzenifera,W,17,18,
2025-11-23,Gurgl,Slalom,15,Chevrier Marion,W,16,16,
2025-11-23,Gurgl,Slalom,16,Ando Asa,W,15,15,
2025-11-23,Gurgl,Slalom,17,Gritsch Franziska,W,14,14,
2025-11-23,Gurgl,Slalom,18,Della Mea Lara,W,13,13,
2025-11-23,Gurgl,Slalom,19,Hoerhager Lisa,W,12,12,
2025-11-23,Gurgl,Slalom,20,Aronsson Elfman Hanna,W,11,11,
2025-11-23,Gurgl,Slalom,21,Braendli Anuk,W,10,10,
2025-11-23,Gurgl,Slalom,22,Popovic Leona,W,9,9,
2025-11-23,Gurgl,Slalom,23,Lamure Marie,W,8,8,
2025-11-23,Gurgl,Slalom,24,Holtmann Mina Fuerst,W,7,7,Sara
2025-11-23,Gurgl,Slalom,25,Christen Eliane,W,6,6,
2025-11-23,Gurgl,Slalom,26,Falch Natalie,W,5,5,
2025-11-22,Gurgl,Slalom,1,Rassat Paco,M,55,100,
2025-11-22,Gurgl,Slalom,2,Marchant Armand,M,48,80,
2025-11-22,Gurgl,Slalom,3,Mcgrath Atle Lie,M,43,60,Céline
2025-11-22,Gurgl,Slalom,4,Haugan Timon,M,38,50,Manuel
2025-11-22,Gurgl,Slalom,5,Nef Tanguy,M,35,45,
2025-11-22,Gurgl,Slalom,6,Raschner Dominik,M,32,40,
2025-11-22,Gurgl,Slalom,7,Muffat-Jeandet Victor,M,29,36,
2025-11-22,Gurgl,Slalom,8,Strasser Linus,M,26,32,Céline
2025-11-22,Gurgl,Slalom,9,Popov Albert,M,24,29,
2025-11-22,Gurgl,Slalom,10,Pinheiro Braathen Lucas,M,22,26,Janic
2025-11-22,Gurgl,Slalom,11,Yule Daniel,M,20,24,
2025-11-22,Gurgl,Slalom,12,Rueland Simon,M,19,22,
2025-11-22,Gurgl,Slalom,12,Kristoffersen Henrik,M,19,22,Manuel
2025-11-22,Gurgl,Slalom,12,Noel Clement,M,19,22,Daniel
2025-11-22,Gurgl,Slalom,15,Amiez Steven,M,16,16,
2025-11-22,Gurgl,Slalom,16,Gstrein Fabio,M,15,15,Sara
2025-11-22,Gurgl,Slalom,17,Major Billy,M,14,14,
2025-11-22,Gurgl,Slalom,18,Sandvik Oscar Andreas,M,13,13,
2025-11-22,Gurgl,Slalom,19,Vinatzer Alex,M,12,12,
2025-11-22,Gurgl,Slalom,20,Maes Sam,M,11,11,
2025-11-22,Gurgl,Slalom,21,Schwarz Marco,M,10,10,Daniel
2025-11-22,Gurgl,Slalom,22,Koyama Yohei,M,9,9,
2025-11-22,Gurgl,Slalom,23,Solberg Eirik Hystad,M,8,8,
2025-11-22,Gurgl,Slalom,24,Strolz Johannes,M,7,7,
2025-11-22,Gurgl,Slalom,25,Ryding Dave,M,6,6,
2025-11-22,Gurgl,Slalom,26,Sala Tommaso,M,5,5,
2025-11-22,Gurgl,Slalom,27,Feller Manuel,M,4,4,Janic
2025-11-16,Levi,Slalom,1,Braathen Lucas Pinheiro,M,55,100,Janic
2025-11-16,Levi,Slalom,2,Noel Clement,M,48,80,Daniel
2025-11-16,Levi,Slalom,3,Hallberg Eduard,M,43,60,
2025-11-16,Levi,Slalom,4,Taylor Laurie,M,38,50,
2025-11-16,Levi,Slalom,5,Haugan Timon,M,35,45,Manuel
2025-11-16,Levi,Slalom,6,Rassat Paco,M,32,40,
2025-11-16,Levi,Slalom,7,Ryding Dave,M,29,36,
2025-11-16,Levi,Slalom,8,Amiez Steven,M,26,32,
2025-11-16,Levi,Slalom,9,Matt Michael,M,24,29,
2025-11-16,Levi,Slalom,10,Gstrein Fabio,M,22,26,Sara
2025-11-16,Levi,Slalom,11,Feller Manuel,M,20,24,Janic
2025-11-16,Levi,Slalom,12,Kastlunger Tobias,M,19,22,
2025-11-16,Levi,Slalom,13,Kristoffersen Henrik,M,18,20,Manuel
2025-11-16,Levi,Slalom,14,Meillard Loic,M,17,18,Sara
2025-11-16,Levi,Slalom,15,Strasser Linus,M,16,16,Céline
2025-11-16,Levi,Slalom,16,Kolega Samuel,M,15,15,
2025-11-16,Levi,Slalom,17,Solberg Eirik Hystad,M,14,14,
2025-11-16,Levi,Slalom,18,Zubcic Filip,M,13,13,Basil
2025-11-16,Levi,Slalom,19,Schwarz Marco,M,12,12,Daniel
2025-11-16,Levi,Slalom,20,Muffat-Jeandet Victor,M,11,11,
2025-11-16,Levi,Slalom,21,Nef Tanguy,M,10,10,Gabi
2025-11-16,Levi,Slalom,22,Yule Daniel,M,9,9,
2025-11-16,Levi,Slalom,23,Popov Albert,M,8,8,
2025-11-16,Levi,Slalom,24,Strolz Johannes,M,7,7,
2025-11-16,Levi,Slalom,25,Maes Sam,M,6,6,
2025-11-16,Levi,Slalom,26,Puckett Cooper,M,5,5,
2025-11-16,Levi,Slalom,27,Major Billy,M,4,4,
2025-11-16,Levi,Slalom,28,Koyama Yohei,M,3,3,
2025-11-15,Levi,Slalom,1,Shiffrin Mikaela,W,55,100,Janic
2025-11-15,Levi,Slalom,2,Colturi Lara,W,48,80,Janic
2025-11-15,Levi,Slalom,3,Aicher Emma,W,43,60,Daniel
2025-11-15,Levi,Slalom,4,Moltzan Paula,W,38,50,Manuel
2025-11-15,Levi,Slalom,4,Duerr Lena,W,38,50,Céline
2025-11-15,Levi,Slalom,6,Ljutic Zrinka,W,32,40,Gabi
2025-11-15,Levi,Slalom,7,Dvornik Neja,W,29,36,Basil
2025-11-15,Levi,Slalom,8,Holdener Wendy,W,26,32,Sara
2025-11-15,Levi,Slalom,9,Chevrier Marion,W,24,29,
2025-11-15,Levi,Slalom,10,Liensberger Katharina,W,22,26,Daniel
2025-11-15,Levi,Slalom,11,Hector Sara,W,20,24,Sara
2025-11-15,Levi,Slalom,11,Swenn Larsson Anna,W,20,24,Manuel
2025-11-15,Levi,Slalom,13,Mcfarlane Caitlin,W,18,20,
2025-11-15,Levi,Slalom,14,Westhoff Bianca Bakke,W,17,18,
2025-11-15,Levi,Slalom,15,Rast Camille,W,16,16,Daniel
2025-11-15,Levi,Slalom,16,Truppe Katharina,W,15,15,
2025-11-15,Levi,Slalom,16,Huber Katharina,W,15,15,
2025-11-15,Levi,Slalom,18,Oehlund Cornelia,W,13,13,
2025-11-15,Levi,Slalom,19,Aronsson Elfman Hanna,W,12,12,
2025-11-15,Levi,Slalom,20,Bucik Jogan Ana,W,11,11,
2025-11-15,Levi,Slalom,21,Germane Dzenifera,W,10,10,
2025-11-15,Levi,Slalom,22,Meillard Melanie,W,9,9,Janic
2025-11-15,Levi,Slalom,23,Hoerhager Lisa,W,8,8,
2025-11-15,Levi,Slalom,24,Gallhuber Katharina,W,7,7,
2025-11-15,Levi,Slalom,25,Toth Zita,W,6,6,
2025-11-15,Levi,Slalom,26,Ando Asa,W,5,5,
2025-11-15,Levi,Slalom,27,Mondinelli Emilia,W,4,4,
2025-11-15,Levi,Slalom,28,Pohjolainen Rosa,W,3,3,
2025-10-26,Soelden,Giant Slalom,1,Odermatt Marco,M,55,100,Céline
2025-10-26,Soelden,Giant Slalom,2,Schwarz Marco,M,48,80,Daniel
2025-10-26,Soelden,Giant Slalom,3,Mcgrath Atle Lie,M,43,60,Céline
2025-10-26,Soelden,Giant Slalom,4,Brennsteiner Stefan,M,38,50,
2025-10-26,Soelden,Giant Slalom,5,Favrot Thibaut,M,35,45,
2025-10-26,Soelden,Giant Slalom,6,Haaser Raphael,M,32,40,Daniel
2025-10-26,Soelden,Giant Slalom,7,Kristoffersen Henrik,M,29,36,Manuel
2025-10-26,Soelden,Giant Slalom,8,Vinatzer Alex,M,26,32,
2025-10-26,Soelden,Giant Slalom,9,Kranjec Zan,M,24,29,
2025-10-26,Soelden,Giant Slalom,10,Vitale Flavio,M,22,26,
2025-10-26,Soelden,Giant Slalom,11,Grammel Anton,M,20,24,
2025-10-26,Soelden,Giant Slalom,12,Verdu Joan,M,19,22,
2025-10-26,Soelden,Giant Slalom,12,Haugan Timon,M,19,22,Manuel
2025-10-26,Soelden,Giant Slalom,14,Meillard Loic,M,17,18,Sara
2025-10-26,Soelden,Giant Slalom,15,Zubcic Filip,M,16,16,Basil
2025-10-26,Soelden,Giant Slalom,16,Tumler Thomas,M,15,15,Gabi
2025-10-26,Soelden,Giant Slalom,17,Gratz Fabian,M,14,14,
2025-10-26,Soelden,Giant Slalom,18,Pinturault Alexis,M,13,13,
2025-10-26,Soelden,Giant Slalom,19,Stockinger Jonas,M,12,12,
2025-10-26,Soelden,Giant Slalom,20,Maes Sam,M,11,11,
2025-10-26,Soelden,Giant Slalom,21,Radamus River,M,10,10,Basil
2025-10-26,Soelden,Giant Slalom,22,De Aliprandini Luca,M,9,9,
2025-10-26,Soelden,Giant Slalom,23,Laine Tormis,M,8,8,
2025-10-26,Soelden,Giant Slalom,24,Borsotti Giovanni,M,7,7,
2025-10-26,Soelden,Giant Slalom,25,Solberg Eirik Hystad,M,6,6,
2025-10-26,Soelden,Giant Slalom,25,Elezi Cannaferina Alban,M,6,6,
2025-10-26,Soelden,Giant Slalom,27,Schmid Alexander,M,4,4,
2025-10-26,Soelden,Giant Slalom,28,Zampa Andreas,M,3,3,
2025-10-26,Soelden,Giant Slalom,29,Kriechmayr Vincent,M,2,2,Janic
2025-10-26,Soelden,Giant Slalom,30,Aerni Luca,M,1,1,
2025-10-25,Soelden,Giant Slalom,1,Scheib Julia,W,55,100,
2025-10-25,Soelden,Giant Slalom,2,Moltzan Paula,W,48,80,Manuel
